ring_name,fixed_count,objective
forearm_cap_1_tilt_all_0,8,122760.3117117209
forearm_cap_2_tilt_all_0,8,122551.1020320374
forearm_cap_1_tilt_all_10,8,122540.1277149146
upperarm_cap_2_tilt_all_0,8,122501.7498779200
upperarm_ring_tilt_all_30,8,122473.8637828859
forearm_cap_2_tilt_all_10,8,122467.1729375895
forearm_cap_1_tilt_all_15,8,122427.1204060063
upperarm_ring_tilt_all_45,8,122346.2161148349
base_cap_tilt_all_-45,8,122334.9749960357
upperarm_cap_2_tilt_all_-10,8,122331.3127716961
upperarm_cap_1_tilt_all_0,8,122317.6166083370
forearm_cap_2_tilt_all_15,8,122314.9126697775
forearm_cap_1_tilt_all_30,8,122259.6777130287
upperarm_cap_2_tilt_all_-15,8,122255.5764202291
upperarm_ring_x_-0.36,8,122216.5734707959
upperarm_ring_tilt_all_15,8,122195.1502149007
upperarm_cap_1_tilt_all_-10,8,122163.1601491217
upperarm_cap_1_tilt_all_-15,8,122131.8943725607
forearm_cap_2_tilt_all_45,8,122112.7767385555
forearm_ring_x_-0.20,8,122108.2891722579
forearm_cap_1_tilt_all_45,8,122091.6435457849
forearm_ring_x_-0.35,8,122066.7754844623
upperarm_ring_tilt_all_10,8,122065.1104310815
upperarm_ring_x_-0.31,8,122061.0781300146
forearm_ring_x_-0.40,8,122056.3676409881
forearm_ring_x_-0.30,8,122046.5843492299
forearm_ring_x_-0.45,8,122046.1832945570
upperarm_ring_tilt_all_60,8,122036.9167980367
forearm_ring_x_-0.25,8,122021.3655631992
upperarm_ring_x_-0.26,8,121993.4427469515
forearm_cap_2_tilt_all_30,8,121980.0930076465
forearm_ring_x_-0.15,8,121960.9233299033
base_cap_tilt_all_-30,8,121934.9933606462
upperarm_ring_x_-0.21,8,121910.9280548884
upperarm_ring_x_-0.41,8,121888.7948073353
base_cap_tilt_all_-15,8,121853.2973904722
forearm_ring_x_-0.50,8,121842.9146828496
base_cap_tilt_all_-10,8,121839.0371743783
wrist_cap_1_tilt_all_-30,8,121733.8268627448
base_cap_tilt_all_0,8,121684.6277119676
wrist_cap_2_tilt_all_15,8,121680.9698640749
upperarm_ring_x_-0.46,8,121673.7835687107
forearm_ring,8,121670.4031629545
forearm_ring_x_-0.10,8,121670.4031629545
upperarm_ring_x_-0.16,8,121629.5302794587
upperarm_ring_tilt_all_0,8,121621.9712526220
upperarm_ring_x_-0.11,8,121621.9712526220
upperarm_cap_2_tilt_all_-30,8,121621.1535741294
base_cap_tilt_all_-60,8,121603.6114478796
upperarm_ring_x_-0.51,8,121599.0215922946
wrist_cap_2_tilt_all_10,8,121527.7814889593
wrist_cap_1_tilt_all_-45,8,121512.2385305050
wrist_cap_2_tilt_all_0,8,121498.8152850758
wrist_cap_1_tilt_all_-10,8,121449.8202972882
flange_ring_tilt_all_0,8,121416.4607705505
upperarm_cap_1_tilt_all_-30,8,121393.7459159458
forearm_cap_2_tilt_all_60,8,121388.7989964271
wrist_cap_1_tilt_all_-15,8,121374.8744575341
wrist_cap_1_tilt_all_0,8,121355.5349949612
wrist_cap_2_tilt_all_30,8,121326.5124069422
flange_ring_tilt_all_-15,8,121287.2599526892
flange_ring_tilt_all_-10,8,121270.2898652780
flange_ring_tilt_all_-30,8,121190.9828159889
forearm_cap_1_tilt_all_60,8,121043.1017955979
upperarm_cap_1_tilt_all_-60,8,121036.4309326883
wrist_cap_2_tilt_all_45,8,121024.0723932131
wrist_cap_1_tilt_all_-60,8,120900.8560401057
upperarm_cap_2_tilt_all_-45,8,120871.4855533449
flange_ring_tilt_all_-45,8,120859.4591363268
upperarm_cap_1_tilt_all_-45,8,120833.9820170780
wrist_cap_2_tilt_all_60,8,120821.7491081900
forearm_ring_x_-0.55,8,120766.9383297616
upperarm_cap_2_tilt_all_-60,8,120650.8102755982
flange_ring_tilt_all_-60,8,120220.9361130648
flange_ring_tilt_all_-90,8,120125.1709202017
flange_ring_tilt_all_-75,8,120001.2443572704
