experiment,base_ring,partner_ring,fixed_count,objective
forearm_vertical_tilt_all_15__forearm_horizontal_x_-0.10,forearm_vertical_tilt_all_15,forearm_horizontal_x_-0.10,14,200289.4039335440
forearm_vertical_tilt_all_15__forearm_horizontal_x_-0.15,forearm_vertical_tilt_all_15,forearm_horizontal_x_-0.15,14,200289.0279144670
forearm_vertical_tilt_all_15__forearm_horizontal_x_-0.20,forearm_vertical_tilt_all_15,forearm_horizontal_x_-0.20,14,200357.3169024185
forearm_vertical_tilt_all_15__forearm_horizontal_x_-0.25,forearm_vertical_tilt_all_15,forearm_horizontal_x_-0.25,14,199962.8778888037
forearm_vertical_tilt_all_15__forearm_horizontal_x_-0.30,forearm_vertical_tilt_all_15,forearm_horizontal_x_-0.30,14,200114.0844880404
forearm_vertical_tilt_all_15__forearm_horizontal_x_-0.35,forearm_vertical_tilt_all_15,forearm_horizontal_x_-0.35,14,200225.0412230868
forearm_vertical_tilt_all_15__forearm_horizontal_x_-0.40,forearm_vertical_tilt_all_15,forearm_horizontal_x_-0.40,14,200719.2033880744
forearm_vertical_tilt_all_15__forearm_horizontal_x_-0.45,forearm_vertical_tilt_all_15,forearm_horizontal_x_-0.45,14,200680.2683323547
forearm_vertical_tilt_all_15__forearm_horizontal_x_-0.50,forearm_vertical_tilt_all_15,forearm_horizontal_x_-0.50,14,199841.0126059939
forearm_vertical_tilt_all_15__forearm_horizontal_x_-0.55,forearm_vertical_tilt_all_15,forearm_horizontal_x_-0.55,14,198396.9128015257
forearm_vertical_tilt_all_15__upperarm_notilt_x_-0.11,forearm_vertical_tilt_all_15,upperarm_notilt_x_-0.11,15,199676.0735726323
forearm_vertical_tilt_all_15__upperarm_notilt_x_-0.16,forearm_vertical_tilt_all_15,upperarm_notilt_x_-0.16,15,200578.0748728907
forearm_vertical_tilt_all_15__upperarm_notilt_x_-0.21,forearm_vertical_tilt_all_15,upperarm_notilt_x_-0.21,15,201821.7680830521
forearm_vertical_tilt_all_15__upperarm_notilt_x_-0.26,forearm_vertical_tilt_all_15,upperarm_notilt_x_-0.26,15,202215.7370256589
forearm_vertical_tilt_all_15__upperarm_notilt_x_-0.31,forearm_vertical_tilt_all_15,upperarm_notilt_x_-0.31,15,202172.2739443924
forearm_vertical_tilt_all_15__upperarm_notilt_x_-0.36,forearm_vertical_tilt_all_15,upperarm_notilt_x_-0.36,15,202306.0339120984
forearm_vertical_tilt_all_15__upperarm_notilt_x_-0.41,forearm_vertical_tilt_all_15,upperarm_notilt_x_-0.41,15,202197.2826164188
forearm_vertical_tilt_all_15__upperarm_notilt_x_-0.46,forearm_vertical_tilt_all_15,upperarm_notilt_x_-0.46,15,201828.5484518524
forearm_vertical_tilt_all_15__upperarm_notilt_x_-0.51,forearm_vertical_tilt_all_15,upperarm_notilt_x_-0.51,15,201023.2152957725
forearm_vertical_tilt_all_15__upperarm_tilt_all_0,forearm_vertical_tilt_all_15,upperarm_tilt_all_0,15,199676.0735726323
forearm_vertical_tilt_all_15__upperarm_tilt_all_15,forearm_vertical_tilt_all_15,upperarm_tilt_all_15,15,202770.8410669141
forearm_vertical_tilt_all_15__upperarm_tilt_all_30,forearm_vertical_tilt_all_15,upperarm_tilt_all_30,15,203283.3296992258
forearm_vertical_tilt_all_15__upperarm_tilt_all_45,forearm_vertical_tilt_all_15,upperarm_tilt_all_45,15,204441.3757997182
forearm_vertical_tilt_all_15__upperarm_tilt_alt_0,forearm_vertical_tilt_all_15,upperarm_tilt_alt_0,15,199676.0735726323
forearm_vertical_tilt_all_15__upperarm_tilt_alt_15,forearm_vertical_tilt_all_15,upperarm_tilt_alt_15,15,201350.2755396835
forearm_vertical_tilt_all_15__upperarm_tilt_alt_30,forearm_vertical_tilt_all_15,upperarm_tilt_alt_30,15,201971.5690248561
forearm_vertical_tilt_all_15__upperarm_tilt_alt_45,forearm_vertical_tilt_all_15,upperarm_tilt_alt_45,15,202725.2678806548
