rank,objective_value,ring,ring_size
1,69875.4126347963,base_cap_tilt_all_-30,8
2,67992.5979842315,upperarm_ring_tilt_all_60,8
3,67773.5804870293,base_cap_tilt_all_-45,8
4,67332.9574073667,upperarm_ring_tilt_all_45,8
5,65215.1929493045,upperarm_cap_1_tilt_all_0,8
6,64019.9758807501,forearm_cap_1_tilt_all_0,8
7,61680.7228138375,upperarm_cap_2_tilt_all_0,8
8,61673.2043852425,forearm_cap_1_tilt_all_10,8
9,59706.6794503462,base_cap_tilt_all_-15,8
10,58441.9201282203,base_cap_tilt_all_-60,8
11,57723.8433038662,upperarm_cap_1_tilt_all_-10,8
12,57695.3662930224,forearm_cap_1_tilt_all_15,8
13,56992.8594348219,base_cap_tilt_all_-10,8
14,56563.2157762966,forearm_cap_2_tilt_all_0,8
15,54653.9299436715,upperarm_cap_2_tilt_all_-10,8
16,53963.4234663164,forearm_cap_2_tilt_all_10,8
17,51949.4925546078,upperarm_cap_1_tilt_all_-15,8
18,51849.6751421119,forearm_cap_2_tilt_all_15,8
19,51726.1771332583,base_cap_tilt_all_0,8
20,51412.9788220524,upperarm_ring_tilt_all_30,8
21,50043.3320650133,upperarm_cap_2_tilt_all_-15,8
22,47664.3706240038,flange_ring_tilt_all_0,8
23,45469.9698155509,wrist_cap_1_tilt_all_-30,8
24,45257.9620428242,wrist_cap_2_tilt_all_15,8
25,45126.3327733490,wrist_cap_2_tilt_all_10,8
26,45098.9110432293,flange_ring_tilt_all_-10,8
27,44651.5990973548,wrist_cap_2_tilt_all_30,8
28,44322.0024072055,wrist_cap_2_tilt_all_0,8
29,43676.8451958988,wrist_cap_1_tilt_all_-15,8
30,43436.4011746876,flange_ring_tilt_all_-15,8
31,43371.3661689468,wrist_cap_1_tilt_all_-10,8
32,42835.4343014989,forearm_cap_1_tilt_all_30,8
33,42733.9748741626,wrist_cap_1_tilt_all_0,8
34,42325.1463337930,forearm_cap_2_tilt_all_30,8
35,39854.2657995440,wrist_cap_1_tilt_all_-45,8
36,38496.5832493655,upperarm_ring_x_-0.46,8
37,37921.9436511625,upperarm_ring_x_-0.51,8
38,37710.4514166526,upperarm_ring_tilt_all_15,8
39,37678.4429611380,upperarm_ring_x_-0.41,8
40,36711.8489805402,wrist_cap_2_tilt_all_45,8
41,36608.4652626633,flange_ring_tilt_all_-30,8
42,36556.2383184447,upperarm_ring_x_-0.36,8
43,35437.1677368521,upperarm_ring_x_-0.31,8
44,34297.7281531924,forearm_ring_x_-0.45,8
45,33890.2117280301,upperarm_ring_x_-0.26,8
46,33724.0374812567,upperarm_ring_tilt_all_10,8
47,33626.8492978800,forearm_ring_x_-0.40,8
48,33572.3799549239,upperarm_cap_2_tilt_all_-30,8
49,33403.3238033890,forearm_ring_x_-0.50,8
50,32594.5087785953,forearm_ring_x_-0.35,8
51,32085.7276142846,upperarm_ring_x_-0.21,8
52,31888.8007150624,wrist_cap_1_tilt_all_-60,8
53,31496.4183953788,forearm_ring_x_-0.30,8
54,30415.5997632997,forearm_ring_x_-0.25,8
55,29569.6840764968,upperarm_ring_x_-0.16,8
56,29335.4901695268,forearm_ring_x_-0.20,8
57,28943.4855376218,forearm_cap_2_tilt_all_45,8
58,28479.8832783487,upperarm_cap_1_tilt_all_-30,8
59,28225.5749975338,forearm_ring_x_-0.15,8
60,26822.5302771160,wrist_cap_2_tilt_all_60,8
61,26760.1263096908,forearm_ring,8
62,26760.1263096908,forearm_ring_x_-0.10,8
63,26538.2342577473,forearm_cap_1_tilt_all_45,8
64,26335.1888185884,flange_ring_tilt_all_-45,8
65,26219.3495445481,upperarm_ring_tilt_all_0,8
66,26219.3495445481,upperarm_ring_x_-0.11,8
67,17044.8194662435,upperarm_cap_2_tilt_all_-45,8
68,17007.4528823181,flange_ring_tilt_all_-60,8
69,16695.2647930433,forearm_cap_2_tilt_all_60,8
70,13833.8031373727,forearm_cap_1_tilt_all_60,8
71,11854.7588727373,forearm_ring_x_-0.55,8
72,10410.6179608418,flange_ring_tilt_all_-75,8
73,10141.1803601232,upperarm_cap_1_tilt_all_-45,8
74,7634.1698640663,upperarm_cap_2_tilt_all_-60,8
75,5550.2812830424,flange_ring_tilt_all_-90,8
76,3980.2697027645,upperarm_cap_1_tilt_all_-60,8
