rank,objective_value,ring_a,ring_b,total_size
1,105927.6614780561,forearm_cap_1_tilt_all_15,upperarm_cap_1_tilt_all_-10,16
2,105395.7953108580,forearm_cap_1_tilt_all_10,upperarm_cap_1_tilt_all_-10,16
3,104975.8416495988,forearm_cap_1_tilt_all_15,upperarm_cap_1_tilt_all_0,16
4,104512.6930693778,forearm_cap_1_tilt_all_10,upperarm_cap_1_tilt_all_-15,16
5,104376.9590888555,forearm_cap_1_tilt_all_15,upperarm_cap_1_tilt_all_-15,16
6,103864.5110447900,forearm_cap_1_tilt_all_10,upperarm_cap_1_tilt_all_0,16
7,102485.5121171879,forearm_cap_2_tilt_all_15,upperarm_cap_1_tilt_all_-10,16
8,102334.5686772862,forearm_cap_1_tilt_all_15,upperarm_cap_2_tilt_all_-10,16
9,102212.4428670038,forearm_cap_1_tilt_all_0,upperarm_ring_tilt_all_60,16
10,102167.0396823246,forearm_cap_1_tilt_all_0,upperarm_ring_tilt_all_45,16
11,102097.0946371753,forearm_cap_2_tilt_all_15,upperarm_cap_1_tilt_all_0,16
12,101754.2452008368,upperarm_cap_2_tilt_all_0,upperarm_ring_tilt_all_45,16
13,101652.2238036277,forearm_cap_1_tilt_all_15,upperarm_cap_2_tilt_all_-15,16
14,101630.2970542573,forearm_cap_1_tilt_all_30,upperarm_cap_1_tilt_all_0,16
15,101464.7431514711,forearm_cap_2_tilt_all_10,upperarm_cap_1_tilt_all_-10,16
16,101406.2708433422,forearm_cap_1_tilt_all_10,upperarm_cap_2_tilt_all_-10,16
17,101384.7447684246,forearm_cap_1_tilt_all_10,upperarm_cap_2_tilt_all_-15,16
18,100893.7659673921,forearm_cap_1_tilt_all_10,upperarm_ring_tilt_all_60,16
19,100846.0514862972,forearm_cap_2_tilt_all_30,upperarm_cap_1_tilt_all_0,16
20,100700.2847084607,forearm_cap_2_tilt_all_15,upperarm_cap_2_tilt_all_-10,16
21,100683.8790438803,forearm_cap_2_tilt_all_10,upperarm_cap_1_tilt_all_0,16
22,100547.7401157222,forearm_cap_2_tilt_all_15,upperarm_cap_1_tilt_all_-15,16
23,100265.9474717787,forearm_cap_2_tilt_all_10,upperarm_cap_1_tilt_all_-15,16
24,99833.9710568403,forearm_cap_1_tilt_all_0,upperarm_cap_1_tilt_all_-10,16
25,99769.3524831208,forearm_cap_1_tilt_all_15,upperarm_cap_2_tilt_all_0,16
26,99630.7427456887,forearm_cap_2_tilt_all_10,upperarm_cap_2_tilt_all_-10,16
27,99597.4885022803,forearm_cap_1_tilt_all_0,upperarm_cap_1_tilt_all_-15,16
28,99359.2301218512,forearm_cap_1_tilt_all_30,upperarm_cap_1_tilt_all_-10,16
29,99245.1515090645,forearm_cap_2_tilt_all_15,upperarm_cap_2_tilt_all_-15,16
30,99183.7153531030,forearm_cap_1_tilt_all_10,upperarm_ring_tilt_all_45,16
31,98996.4214055086,base_cap_tilt_all_-30,upperarm_cap_2_tilt_all_0,16
32,98992.6019537511,base_cap_tilt_all_-45,upperarm_cap_2_tilt_all_0,16
33,98931.4491770358,forearm_cap_2_tilt_all_10,upperarm_cap_2_tilt_all_-15,16
34,98832.5503418890,forearm_cap_1_tilt_all_30,upperarm_cap_2_tilt_all_0,16
35,98644.3708877606,forearm_cap_2_tilt_all_30,upperarm_cap_1_tilt_all_-10,16
36,98618.5517956534,forearm_cap_2_tilt_all_15,upperarm_cap_2_tilt_all_0,16
37,98411.5947526027,forearm_cap_1_tilt_all_15,upperarm_ring_tilt_all_60,16
38,98222.3854393756,forearm_cap_2_tilt_all_30,upperarm_cap_2_tilt_all_0,16
39,98078.5346234778,forearm_cap_1_tilt_all_10,upperarm_cap_2_tilt_all_0,16
40,97940.9555233346,base_cap_tilt_all_-30,forearm_cap_1_tilt_all_0,16
