rank,objective_value,ring_a,ring_b,ring_c,fixed_count
1,114642.1943913550,forearm_cap_1_tilt_all_10,upperarm_cap_2_tilt_all_-10,upperarm_ring_tilt_all_45,24
2,114634.6199277683,forearm_cap_1_tilt_all_15,upperarm_cap_2_tilt_all_-10,upperarm_ring_tilt_all_45,24
3,114382.4156326922,forearm_cap_1_tilt_all_10,upperarm_cap_2_tilt_all_-15,upperarm_ring_tilt_all_45,24
4,114157.2202021756,forearm_cap_1_tilt_all_15,upperarm_cap_2_tilt_all_-10,upperarm_ring_tilt_all_60,24
5,114076.6437665998,forearm_cap_1_tilt_all_15,upperarm_cap_2_tilt_all_-15,upperarm_ring_tilt_all_45,24
6,113862.9507964396,forearm_cap_1_tilt_all_10,upperarm_cap_2_tilt_all_-10,upperarm_ring_tilt_all_60,24
7,113811.2506797039,forearm_cap_1_tilt_all_15,upperarm_cap_2_tilt_all_0,upperarm_ring_tilt_all_45,24
8,113740.1140981163,forearm_cap_1_tilt_all_10,upperarm_cap_2_tilt_all_-15,upperarm_ring_tilt_all_60,24
9,113711.8776795353,forearm_cap_1_tilt_all_15,upperarm_cap_2_tilt_all_-15,upperarm_ring_tilt_all_60,24
10,113532.6700262241,forearm_cap_1_tilt_all_10,upperarm_cap_2_tilt_all_0,upperarm_ring_tilt_all_45,24
11,113107.3588532196,forearm_cap_2_tilt_all_15,upperarm_cap_2_tilt_all_-10,upperarm_ring_tilt_all_45,24
12,113076.5776422617,forearm_cap_1_tilt_all_15,upperarm_cap_2_tilt_all_0,upperarm_ring_tilt_all_60,24
13,113053.2740498403,forearm_cap_1_tilt_all_10,upperarm_cap_1_tilt_all_-10,upperarm_ring_tilt_all_45,24
14,112953.7728009004,forearm_cap_1_tilt_all_0,forearm_cap_2_tilt_all_30,upperarm_cap_1_tilt_all_-10,24
15,112938.2186068338,forearm_cap_2_tilt_all_10,upperarm_cap_2_tilt_all_-10,upperarm_ring_tilt_all_45,24
16,112824.8025288053,forearm_cap_1_tilt_all_0,upperarm_cap_2_tilt_all_-10,upperarm_ring_tilt_all_45,24
17,112815.4642176255,forearm_cap_1_tilt_all_0,upperarm_cap_2_tilt_all_-15,upperarm_ring_tilt_all_45,24
18,112749.5536751912,forearm_cap_1_tilt_all_0,forearm_cap_2_tilt_all_30,upperarm_cap_1_tilt_all_-15,24
19,112734.0665637797,forearm_cap_1_tilt_all_0,forearm_cap_1_tilt_all_45,upperarm_cap_1_tilt_all_-10,24
20,112678.4690079671,forearm_cap_2_tilt_all_15,upperarm_cap_2_tilt_all_0,upperarm_ring_tilt_all_45,24
21,112654.4822598960,forearm_cap_1_tilt_all_10,upperarm_cap_1_tilt_all_-15,upperarm_ring_tilt_all_45,24
22,112649.8876093646,forearm_cap_1_tilt_all_10,upperarm_cap_1_tilt_all_0,upperarm_ring_tilt_all_45,24
23,112522.0554016227,forearm_cap_1_tilt_all_0,forearm_cap_1_tilt_all_45,upperarm_cap_1_tilt_all_-15,24
24,112499.4865089924,forearm_cap_1_tilt_all_10,upperarm_cap_2_tilt_all_0,upperarm_ring_tilt_all_60,24
25,112442.4386548016,forearm_cap_2_tilt_all_15,upperarm_cap_2_tilt_all_-10,upperarm_ring_tilt_all_60,24
26,112394.9728390600,forearm_cap_1_tilt_all_0,forearm_cap_1_tilt_all_30,upperarm_cap_1_tilt_all_-10,24
27,112243.9221361068,forearm_cap_1_tilt_all_15,upperarm_cap_1_tilt_all_-10,upperarm_ring_tilt_all_45,24
28,112235.1462176698,forearm_cap_1_tilt_all_30,forearm_cap_2_tilt_all_0,upperarm_cap_1_tilt_all_-10,24
29,112215.7266955093,forearm_cap_1_tilt_all_0,upperarm_ring_tilt_all_10,upperarm_ring_tilt_all_60,24
30,112198.3492388817,forearm_cap_2_tilt_all_10,upperarm_cap_2_tilt_all_0,upperarm_ring_tilt_all_45,24
31,112182.9616769031,forearm_cap_1_tilt_all_0,forearm_cap_1_tilt_all_30,upperarm_cap_1_tilt_all_-15,24
32,112157.9454260092,forearm_cap_2_tilt_all_10,upperarm_cap_2_tilt_all_-15,upperarm_ring_tilt_all_45,24
33,112120.7638090064,forearm_cap_1_tilt_all_15,upperarm_cap_1_tilt_all_0,upperarm_ring_tilt_all_45,24
34,111959.4423159328,forearm_cap_2_tilt_all_15,upperarm_cap_2_tilt_all_-15,upperarm_ring_tilt_all_45,24
35,111943.0992347175,forearm_cap_2_tilt_all_10,upperarm_cap_2_tilt_all_-10,upperarm_ring_tilt_all_60,24
36,111934.3238981573,forearm_cap_1_tilt_all_30,forearm_cap_2_tilt_all_0,upperarm_cap_1_tilt_all_-15,24
37,111835.7976460357,forearm_cap_1_tilt_all_0,upperarm_ring_tilt_all_15,upperarm_ring_tilt_all_60,24
38,111814.2037419604,forearm_cap_1_tilt_all_10,upperarm_cap_1_tilt_all_-10,upperarm_ring_tilt_all_30,24
39,111804.8411967839,forearm_cap_1_tilt_all_0,upperarm_cap_1_tilt_all_-10,upperarm_ring_tilt_all_45,24
40,111798.1793900194,forearm_cap_1_tilt_all_0,upperarm_ring_tilt_all_60,upperarm_ring_x_-0.16,24
41,111778.7887646380,forearm_cap_1_tilt_all_10,forearm_cap_1_tilt_all_45,upperarm_cap_1_tilt_all_-10,24
42,111725.8804600362,forearm_cap_1_tilt_all_10,forearm_cap_2_tilt_all_30,upperarm_cap_1_tilt_all_-10,24
43,111715.3581739189,forearm_cap_1_tilt_all_30,upperarm_cap_2_tilt_all_0,upperarm_ring_tilt_all_45,24
44,111713.9367361068,forearm_cap_1_tilt_all_0,upperarm_ring_tilt_all_60,upperarm_ring_x_-0.21,24
45,111705.3401796079,forearm_cap_2_tilt_all_15,upperarm_cap_2_tilt_all_0,upperarm_ring_tilt_all_60,24
46,111704.0214793053,forearm_cap_1_tilt_all_10,forearm_cap_2_tilt_all_15,upperarm_cap_1_tilt_all_-10,24
47,111667.5889860333,forearm_cap_1_tilt_all_0,upperarm_cap_1_tilt_all_-15,upperarm_ring_tilt_all_45,24
48,111575.2990855531,forearm_cap_2_tilt_all_15,upperarm_cap_2_tilt_all_-15,upperarm_ring_tilt_all_60,24
49,111528.6715392895,forearm_cap_2_tilt_all_0,forearm_cap_2_tilt_all_45,upperarm_cap_1_tilt_all_-10,24
50,111508.5544968175,forearm_cap_1_tilt_all_15,upperarm_cap_1_tilt_all_-15,upperarm_ring_tilt_all_45,24
51,111485.5899304893,forearm_cap_1_tilt_all_10,forearm_cap_2_tilt_all_10,upperarm_cap_1_tilt_all_-10,24
52,111451.2952362713,forearm_cap_1_tilt_all_15,upperarm_cap_1_tilt_all_-10,upperarm_ring_tilt_all_30,24
53,111437.6441247732,forearm_cap_1_tilt_all_0,upperarm_cap_2_tilt_all_0,upperarm_ring_tilt_all_45,24
54,111401.2431299964,forearm_cap_2_tilt_all_10,upperarm_cap_2_tilt_all_-15,upperarm_ring_tilt_all_60,24
55,111381.7341350917,forearm_cap_1_tilt_all_10,upperarm_cap_1_tilt_all_0,upperarm_ring_tilt_all_30,24
56,111380.1198382331,base_cap_tilt_all_-45,forearm_cap_1_tilt_all_15,upperarm_cap_2_tilt_all_-10,24
57,111364.7212665401,base_cap_tilt_all_-45,forearm_cap_1_tilt_all_10,upperarm_cap_2_tilt_all_-15,24
58,111356.3393203689,forearm_cap_2_tilt_all_30,upperarm_cap_2_tilt_all_0,upperarm_ring_tilt_all_45,24
59,111322.8329098248,forearm_cap_1_tilt_all_10,upperarm_cap_1_tilt_all_-10,upperarm_ring_tilt_all_60,24
60,111320.3264309325,base_cap_tilt_all_-45,forearm_cap_1_tilt_all_10,upperarm_cap_2_tilt_all_-10,24
61,111317.3616468074,forearm_cap_1_tilt_all_10,upperarm_cap_1_tilt_all_-15,upperarm_ring_tilt_all_60,24
62,111315.4193176111,forearm_cap_1_tilt_all_15,upperarm_cap_1_tilt_all_0,upperarm_ring_tilt_all_30,24
63,111292.8139913567,forearm_cap_1_tilt_all_10,upperarm_ring_tilt_all_10,upperarm_ring_tilt_all_60,24
64,111274.2995264029,base_cap_tilt_all_-30,forearm_cap_1_tilt_all_10,upperarm_cap_1_tilt_all_-10,24
65,111248.4033135335,forearm_cap_1_tilt_all_0,upperarm_cap_1_tilt_all_0,upperarm_ring_tilt_all_45,24
66,111238.8350456677,forearm_cap_1_tilt_all_10,forearm_cap_2_tilt_all_10,upperarm_cap_1_tilt_all_-15,24
67,111193.7894024278,forearm_cap_2_tilt_all_0,forearm_cap_2_tilt_all_45,upperarm_cap_1_tilt_all_-15,24
68,111165.7797423977,forearm_cap_1_tilt_all_10,forearm_cap_2_tilt_all_15,upperarm_cap_1_tilt_all_-15,24
69,111164.8071101898,forearm_cap_2_tilt_all_0,upperarm_cap_2_tilt_all_-10,upperarm_ring_tilt_all_45,24
70,111145.5882310562,base_cap_tilt_all_-30,forearm_cap_1_tilt_all_10,upperarm_cap_2_tilt_all_-10,24
71,111119.0042822917,forearm_cap_1_tilt_all_0,upperarm_cap_2_tilt_all_-15,upperarm_ring_tilt_all_60,24
72,111106.0907023327,forearm_cap_1_tilt_all_10,upperarm_cap_1_tilt_all_-15,upperarm_ring_tilt_all_30,24
73,111105.6725864005,forearm_cap_1_tilt_all_0,upperarm_ring_tilt_all_60,upperarm_ring_x_-0.26,24
74,111097.0263517292,base_cap_tilt_all_-45,forearm_cap_1_tilt_all_15,upperarm_cap_2_tilt_all_-15,24
75,111080.1631802716,base_cap_tilt_all_-30,forearm_cap_1_tilt_all_10,upperarm_cap_2_tilt_all_-15,24
76,111077.6593701178,base_cap_tilt_all_-30,forearm_cap_1_tilt_all_15,upperarm_cap_2_tilt_all_-10,24
77,111067.0267026377,forearm_cap_1_tilt_all_15,forearm_cap_2_tilt_all_0,upperarm_cap_1_tilt_all_-10,24
78,111035.9143807124,base_cap_tilt_all_-30,forearm_cap_1_tilt_all_10,upperarm_cap_1_tilt_all_-15,24
79,111016.0944327260,forearm_cap_1_tilt_all_30,upperarm_cap_2_tilt_all_0,upperarm_ring_tilt_all_60,24
80,111008.9095311778,forearm_cap_1_tilt_all_15,forearm_cap_2_tilt_all_0,upperarm_cap_1_tilt_all_-15,24
81,111002.6525782056,base_cap_tilt_all_-45,forearm_cap_1_tilt_all_10,upperarm_cap_1_tilt_all_-10,24
82,110975.6560806417,forearm_cap_1_tilt_all_0,upperarm_cap_2_tilt_all_-10,upperarm_ring_tilt_all_60,24
83,110971.2588236945,forearm_cap_1_tilt_all_0,forearm_cap_2_tilt_all_45,upperarm_cap_1_tilt_all_-10,24
84,110969.2318300696,forearm_cap_1_tilt_all_10,upperarm_ring_tilt_all_60,upperarm_ring_x_-0.16,24
85,110957.8995501026,forearm_cap_2_tilt_all_30,upperarm_cap_2_tilt_all_0,upperarm_ring_tilt_all_60,24
86,110940.4435856375,forearm_cap_1_tilt_all_10,forearm_cap_1_tilt_all_45,upperarm_cap_1_tilt_all_-15,24
87,110933.4479928167,forearm_cap_2_tilt_all_10,upperarm_cap_2_tilt_all_0,upperarm_ring_tilt_all_60,24
88,110905.1093518421,forearm_cap_1_tilt_all_15,forearm_cap_2_tilt_all_10,upperarm_cap_1_tilt_all_-10,24
89,110895.3273174836,forearm_cap_1_tilt_all_10,forearm_cap_2_tilt_all_30,upperarm_cap_1_tilt_all_-15,24
90,110887.2346328778,forearm_cap_1_tilt_all_0,forearm_cap_2_tilt_all_15,upperarm_cap_1_tilt_all_-10,24
91,110883.1577497561,forearm_cap_1_tilt_all_15,upperarm_cap_1_tilt_all_-10,upperarm_ring_tilt_all_60,24
92,110853.5332400490,forearm_cap_1_tilt_all_10,upperarm_ring_tilt_all_60,upperarm_ring_x_-0.21,24
93,110853.3373152160,base_cap_tilt_all_-45,forearm_cap_1_tilt_all_10,upperarm_cap_1_tilt_all_-15,24
