ring_name,fixed_count,objective
forearm_cap_1_tilt_all_0,8,122567.0221403690
upperarm_cap_2_tilt_all_0,8,122486.2736364108
forearm_cap_2_tilt_all_10,8,122464.5338062000
forearm_cap_2_tilt_all_0,8,122452.7060064219
forearm_cap_1_tilt_all_10,8,122413.4005096553
forearm_cap_1_tilt_all_15,8,122401.7198675895
forearm_cap_2_tilt_all_15,8,122362.8419929891
upperarm_cap_2_tilt_all_-10,8,122248.0678271939
base_cap_tilt_all_-45,8,122218.9035686561
upperarm_cap_1_tilt_all_0,8,122195.8724745287
upperarm_cap_2_tilt_all_-15,8,122187.2077231646
forearm_cap_1_tilt_all_30,8,122183.0423074133
forearm_cap_1_tilt_all_45,8,122169.6257364259
upperarm_cap_1_tilt_all_-10,8,122157.4184477555
forearm_ring_x_-0.45,8,122145.2288461041
upperarm_cap_1_tilt_all_-15,8,122141.3551750991
forearm_cap_2_tilt_all_45,8,122121.8474495257
forearm_ring_x_-0.20,8,122108.2891722579
forearm_ring_x_-0.40,8,122085.6112662460
forearm_ring_x_-0.25,8,122062.8587046662
forearm_ring_x_-0.30,8,122046.5843492299
forearm_cap_2_tilt_all_30,8,122043.6403877993
base_cap_tilt_all_-15,8,121981.4280767771
base_cap_tilt_all_-30,8,121962.5171036914
forearm_ring_x_-0.15,8,121855.7282603851
base_cap_tilt_all_-10,8,121831.4503984549
forearm_ring,8,121781.3879829413
forearm_ring_x_-0.35,8,121699.5022033813
base_cap_tilt_all_0,8,121674.0560776437
upperarm_cap_2_tilt_all_-30,8,121659.7881149741
wrist_cap_1_tilt_all_-30,8,121633.8925758451
upperarm_cap_2_tilt_all_-45,8,121633.5363056141
base_cap_tilt_all_-60,8,121603.6114478796
forearm_ring_x_-0.50,8,121599.8239468341
forearm_ring_x_-0.10,8,121585.7511447323
flange_ring_tilt_all_0,8,121519.4875392209
wrist_cap_2_tilt_all_0,8,121507.0954996090
wrist_cap_1_tilt_all_-15,8,121500.9960596895
flange_ring_tilt_all_-10,8,121451.9625233917
wrist_cap_2_tilt_all_15,8,121410.0614214719
wrist_cap_1_tilt_all_0,8,121395.4021659069
forearm_cap_2_tilt_all_60,8,121394.2437827165
wrist_cap_1_tilt_all_-45,8,121392.3532464885
wrist_cap_2_tilt_all_10,8,121374.8872966934
wrist_cap_1_tilt_all_-10,8,121366.6136486357
flange_ring_tilt_all_-15,8,121340.7534656189
wrist_cap_2_tilt_all_30,8,121340.7029260328
forearm_cap_1_tilt_all_60,8,121258.2408269857
flange_ring_tilt_all_-30,8,121190.9828159889
wrist_cap_2_tilt_all_45,8,121144.3326995036
upperarm_cap_1_tilt_all_-30,8,121052.5029428994
wrist_cap_1_tilt_all_-60,8,120958.7194502237
upperarm_cap_1_tilt_all_-45,8,120889.9924668359
wrist_cap_2_tilt_all_60,8,120692.1793371536
forearm_ring_x_-0.55,8,120674.4321179950
flange_ring_tilt_all_-45,8,120655.5067556196
upperarm_cap_1_tilt_all_-60,8,120533.1989097300
flange_ring_tilt_all_-60,8,120526.9170156844
upperarm_cap_2_tilt_all_-60,8,120501.4696716654
flange_ring_tilt_all_-75,8,120048.2704122929
flange_ring_tilt_all_-90,8,119839.9775397737
upperarm_ring_tilt_all_0,8,119772.5850154895
upperarm_ring_tilt_all_10,8,119772.5850154895
upperarm_ring_tilt_all_15,8,119772.5850154895
upperarm_ring_tilt_all_30,8,119772.5850154895
upperarm_ring_tilt_all_45,8,119772.5850154895
upperarm_ring_tilt_all_60,8,119772.5850154895
upperarm_ring_x_-0.11,8,119772.5850154895
upperarm_ring_x_-0.16,8,119772.5850154895
upperarm_ring_x_-0.21,8,119772.5850154895
upperarm_ring_x_-0.26,8,119772.5850154895
upperarm_ring_x_-0.31,8,119772.5850154895
upperarm_ring_x_-0.36,8,119772.5850154895
upperarm_ring_x_-0.41,8,119772.5850154895
upperarm_ring_x_-0.46,8,119772.5850154895
upperarm_ring_x_-0.51,8,119772.5850154895
